"OBJECTID","nom_rio"
60108,"RIU TORDERA"
60138,"TORRENT DE VALL-LLOPARDA"
60139,"Tram de_( TORRENT DE VALL-LLOPARDA )"
60140,"Tram de_( TORRENT DE VALL-LLOPARDA )"
60144,"Tram de_( TORRENT DE VALL-LLOPARDA )"
60156,"TORRENT DE CAN MATES"
60157,"Tram de_( TORRENT DE CAN MATES )"
60158,"Tram de_( TORRENT DE CAN MATES )"
60159,"Tram de_( SIN NOMBRE )"
60162,"Tram de_( SIN NOMBRE )"
60165,"Tram de_( RIU TORDERA )"
60166,"BARRANC DE MAS GAVATX"
60167,"Tram de_( BARRANC DE MAS GAVATX )"
60169,"Tram de_( BARRANC DE MAS GAVATX )"
60170,"Tram de_( BARRANC DE MAS GAVATX )"
60171,"Tram de_( RIU TORDERA )"
60172,"BARRANC DE CA N'OLLER"
60173,"Tram de_( BARRANC DE CA N'OLLER )"
60174,"Tram de_( BARRANC DE CA N'OLLER )"
60175,"Tram de_( BARRANC DE CA N'OLLER )"
60176,"Tram de_( BARRANC DE CA N'OLLER )"
60177,"Tram de_( BARRANC DE CA N'OLLER )"
60178,"Tram de_( BARRANC DE CA N'OLLER )"
60179,"RIERA DE TERRA NEGRA"
60180,"REC DE CAN PLANES"
60181,"Tram de_( REC DE CAN PLANES )"
60182,"Tram de_( REC DE CAN PLANES )"
60183,"Tram de_( REC DE CAN PLANES )"
60184,"Tram de_( RIERA DE TERRA NEGRA )"
60185,"RIERA DE SANTA COLOMA"
60186,"Tram de_( RIERA DE SANTA COLOMA )"
60188,"Tram de_( RIERA DE SANTA COLOMA )"
60189,"Tram de_( SIN NOMBRE )"
60190,"Tram de_( RIERA DE SANTA COLOMA )"
60193,"Tram de_( RIERA DE SANTA COLOMA )"
60194,"RIERA DE MAÇANES"
60195,"TORRENT DE CAL NAN"
60196,"Tram de_( TORRENT DE CAL NAN )"
60197,"Tram de_( TORRENT DE CAL NAN )"
60198,"RIERA DE LA CASANOVA"
60199,"Tram de_( RIERA DE LA CASANOVA )"
60200,"Tram de_( RIERA DE LA CASANOVA )"
60201,"Tram de_( SIN NOMBRE )"
60202,"RIERA DE L'ESPARRA"
60203,"Tram de_( RIERA DE L'ESPARRA )"
60204,"Tram de_( SIN NOMBRE )"
60205,"Tram de_( RIERA DE L'ESPARRA )"
60207,"Tram de_( RIERA DE MAÇANES )"
60208,"Tram de_( RIERA DE MAÇANES )"
60209,"Tram de_( RIERA DE MAÇANES )"
60210,"Tram de_( SIN NOMBRE )"
60211,"Tram de_( SIN NOMBRE )"
60212,"Tram de_( SIN NOMBRE )"
60213,"TORRENT DE MOLLET"
60218,"Tram de_( TORRENT DE MOLLET )"
60219,"Tram de_( TORRENT DE MOLLET )"
60221,"Tram de_( TORRENT DE MOLLET )"
60222,"SOT DE L'INFERN"
60223,"Tram de_( SOT DE L'INFERN )"
60224,"Tram de_( RIERA DE SANTA COLOMA )"
60225,"RIERA DE SANTA MARIA"
60226,"Tram de_( RIERA DE SANTA MARIA )"
60296,"TORRENT DE L'ESPARRA"
60297,"BARRANC DE CAN COLOMER"
60298,"Tram de_( BARRANC DE CAN COLOMER )"
60299,"Tram de_( SIN NOMBRE )"
60300,"BARRANC DE CAN COLOMER"
60301,"Tram de_( BARRANC DE CAN COLOMER )"
60303,"Tram de_( TORRENT DE L'ESPARRA )"
60312,"TORRENT DE VILARRASA"
60313,"Tram de_( TORRENT DE VILARRASA )"
60407,"TORRENT DE LA TEULERIA O DEL FERRO"
60408,"Tram de_( TORRENT DE LA TEULERIA O DEL FERRO )"
60409,"Tram de_( TORRENT DE LA TEULERIA O DEL FERRO )"
60412,"TORRENT DE SANT JACINT"
60413,"Tram de_( TORRENT DE SANT JACINT )"
60414,"Tram de_( RIU TORDERA )"
60415,"TORRENT DE CAN SEGRE"
60416,"Tram de_( TORRENT DE CAN SEGRE )"
60417,"Tram de_( TORRENT DE CAN SEGRE )"
60418,"Tram de_( TORRENT DE CAN SEGRE )"
60421,"RIERA DE ARBUCIES"
60422,"Tram de_( RIERA DE ARBUCIES )"
60423,"Tram de_( RIERA DE ARBUCIES )"
60424,"RIERA DE BUIXALLEU"
